TRX_TYPE	TX_DESC	CHANNEL	BILLER_TARGET	JENIS_TRX	mapping_sendiri		
TRF-BILL_P	TLKM LAMPUNG	ATM	TELKOM	PAYMENT			
TRF-BILL_P	GOPAY	ATM	GOPAY	PURCHASE			
TRF-BILL_P	SPC UNPAD	ATM	STUDENT PAYMENT CENTER	PAYMENT			
TRF-BILL_P	UNUND	ATM	STUDENT PAYMENT CENTER	PAYMENT			
TRF-BILL_P	PLN JATENG	ATM	PLN POSTPAID	PAYMENT			
TRF-BILL_P	PEM AKAMIGAS	ATM	PEM AKAMIGAS	PAYMENT			
TRF-BILL_P	VCR TLKOMSEL:150000	ATM	TELKOMSEL	PURCHASE			
TRF-BILL_P	PLN LAMPUNG	ATM	PLN POSTPAID	PAYMENT			
TRF-BILL_P	PAKET DATA:100000	ATM	PAKET DATA XL	PURCHASE			
TRF-BILL_P	PP4 GORNTALO	ATM	PELINDO	PAYMENT			
TRF-BILL_P	PP3 CL BWANG	ATM	PELINDO	PAYMENT			
TRF-BILL_P	PBB KAB BANYUASIN	ATM	PBB KAB BANYUASIN	PAYMENT			
TRF-BILL_P	PP4 MAKASSAR	ATM	PELINDO	PAYMENT			
TRF-BILL_P	SPC UNSOED H2H	ATM	STUDENT PAYMENT CENTER	PAYMENT			
TRF-BILL_P	PLN SUMUT	ATM	PLN POSTPAID	PAYMENT			
TRF-BILL_P	PP3 MAUMERE	ATM	PELINDO	PAYMENT			
TRF-BILL_P	SRIWIJAYA	ATM	SRIWIJAYA AIR	PURCHASE			
TRF-BILL_P	PP4 BIAK	ATM	PELINDO	PAYMENT			
TRF-BILL_P	SPC H2H UNY	ATM	STUDENT PAYMENT CENTER	PAYMENT			
TRF-BILL_P	PLN NTT	ATM	PLN POSTPAID	PAYMENT			
TRF-BILL_P	PRUD PERTAMA	ATM	PRUDENTIAL	PAYMENT			
TRF-BILL_P	PBB KAB BANYUWANGI	ATM	?	?			
TRF-BILL_P	3 PREPAID:500000	ATM	THREE	PURCHASE			
TRF-BILL_P	FREN:300000	ATM	SMARTFREN	PURCHASE			
TRF-BILL_P	PLN JABAR	ATM	PLN POSTPAID	PAYMENT			
TRF-BILL_P	MANDIRI CC ATM PAY	ATM	MANDIRI	PAYMENT			
TRF-BILL_P	FREN:150000	ATM	SMARTFREN	PURCHASE			
TRF-BILL_P	PKPU ZAKAT	ATM	ZAKAT	PAYMENT			
TRF-BILL_P	UPN JKT H2H	ATM	STUDENT PAYMENT CENTER	PAYMENT			
TRF-BILL_P	ASURANSI BUMIPUTERA	ATM	BUMIPUTERA	PAYMENT			
TRF-BILL_P	PBB TOMOHON	ATM	PBB TOMOHON	PAYMENT			
TRF-BILL_P	PP3 TJ INTAN	ATM	PELINDO	PAYMENT			
TRF-BILL_P	PP3 KOTABARU	ATM	PELINDO	PAYMENT			
TRF-BILL_P	XL VOUCHER:25000	ATM	XL	PURCHASE			
TRF-BILL_P	IPC TPK	ATM	IPC TPK	PAYMENT			
TRF-BILL_P	H2H IAIN SRG	ATM	H2H IAIN SRG	PAYMENT			
TRF-BILL_P	ISSUER CCMPUT	ATM	ISSUER CCMPUT	PAYMENT			
TRF-BILL_P	H2H UII YK	ATM	STUDENT PAYMENT CENTER	PAYMENT			
TRF-BILL_P	SPC H2H UAD	ATM	SPC H2H UAD	PAYMENT			
TRF-BILL_P	TLKM JAKUT	ATM	TELKOM	PAYMENT			
TRF-BILL_P	TOP UP PREMI	ATM	BNI LIFE	PURCHASE			
TRF-BILL_P	PBBPEKANBARU	ATM	PBB PEKANBARU	PAYMENT			
TRF-BILL_P	ALLIANZ	ATM	?	?			
TRF-BILL_P	PAKET DATA:       239000.	ATM	?	?			
TRF-BILL_P	H2H UNTAN	ATM	STUDENT PAYMENT CENTER	PAYMENT			
TRF-BILL_P	ANZ CRD CARD	ATM	ANZ	PAYMENT			
TRF-BILL_P	NSC FINANCE	ATM	NSC FINANCE	PAYMENT			
TRF-BILL_P	PP4 TPM	ATM	PELINDO	PAYMENT			
TRF-BILL_P	PBB KAPUAS	ATM	?	?			
TRF-BILL_P	PBB TL AGUNG	ATM	PBB TL AGUNG	PAYMENT			
TRF-BILL_P	SPC UISU	ATM	STUDENT PAYMENT CENTER	PAYMENT			
TRF-BILL_P	IPL/PAM BSD	ATM	IPL/PAM BSD	PAYMENT			
TRF-BILL_P	PBB BLITAR	ATM	PBB BLITAR	PAYMENT			
TRF-BILL_P	PBBBJNEGORO	ATM	PBB BOJONEGORO	PAYMENT			
TRF-BILL_P	TLKM JAKTIM	ATM	TELKOM	PAYMENT			
TRF-BILL_P	DANAMON CR CARD	ATM	DANAMON	PAYMENT			
TRF-BILL_P	PP3 TPKS	ATM	PELINDO	PAYMENT			
TRF-BILL_P	UNIV MURIA KUDUS	ATM	STUDENT PAYMENT CENTER	PAYMENT			
TRF-BILL_P	3 PREPAID:50000	ATM	THREE	PURCHASE			
